symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GS,2010-02-18 00:00:00+00:00,155.73,156.59,154.88,155.61,10991100,131.45323501,132.1791695256,130.7357415935,131.3519418218,10991100,0.0,1.0
GS,2010-02-19 00:00:00+00:00,156.18,157.0,154.49,154.51,8693000,131.8330844658,132.5252545853,130.4065387318,130.4234209298,8693000,0.0,1.0
GS,2010-02-22 00:00:00+00:00,156.71,157.97,156.03,157.2,7375500,132.2804627138,133.3440411901,131.7064679806,132.6940765657,7375500,0.0,1.0
GS,2010-02-23 00:00:00+00:00,156.7,160.21,155.91,156.81,15696000,132.2720216148,135.2348473702,131.6051747923,132.364873704,15696000,0.0,1.0
GS,2010-02-24 00:00:00+00:00,158.33,159.25,156.87,157.34,8361500,133.6479207547,134.4245018644,132.4155202981,132.8122519519,8361500,0.0,1.0
GS,2010-02-25 00:00:00+00:00,156.09,156.44,154.32,156.23,10519900,131.7571145747,132.0525530403,130.2630400485,131.8752899609,10519900,0.0,1.0
GS,2010-02-26 00:00:00+00:00,156.35,156.99,155.26,156.26,7812700,132.2720216148,132.8134612939,131.3498821612,132.1958816599,7812700,0.35,1.0
GS,2010-03-01 00:00:00+00:00,156.54,158.29,156.17,156.51,6522800,132.4327615195,133.9132606422,132.119741705,132.4073815346,6522800,0.0,1.0
GS,2010-03-02 00:00:00+00:00,158.75,159.75,156.91,157.18,11986400,134.3024204116,135.1484199102,132.745781334,132.9742011987,11986400,0.0,1.0
GS,2010-03-03 00:00:00+00:00,157.72,159.45,157.23,159.04,10006000,133.4310409279,134.8946200606,133.0165011736,134.5477602662,10006000,0.0,1.0
GS,2010-03-04 00:00:00+00:00,163.61,163.85,158.11,158.25,15439500,138.413977975,138.6170178547,133.7609807324,133.8794206622,15439500,0.0,1.0
GS,2010-03-05 00:00:00+00:00,167.18,168.25,165.0,165.11,12226700,141.4341961852,142.3394156488,139.5899172782,139.682977223,12226700,0.0,1.0
GS,2010-03-08 00:00:00+00:00,169.84,170.69,167.46,167.88,9344500,143.6845548516,144.4036544255,141.6710760448,142.0263958343,9344500,0.0,1.0
GS,2010-03-09 00:00:00+00:00,168.85,172.2,168.0,169.22,12958700,142.847015348,145.6811136685,142.1279157741,143.1600351625,12958700,0.0,1.0
GS,2010-03-10 00:00:00+00:00,171.94,172.34,168.87,170.26,13107200,145.4611537988,145.7995535983,142.8639353379,144.0398746411,13107200,0.0,1.0
GS,2010-03-11 00:00:00+00:00,173.51,173.57,171.1,171.4,8910600,146.7893730117,146.8401329816,144.7505142199,145.0043140695,8910600,0.0,1.0
GS,2010-03-12 00:00:00+00:00,174.96,176.34,174.0,175.01,10216900,148.0160722848,149.1835515929,147.203912766,148.0583722597,10216900,0.0,1.0
GS,2010-03-15 00:00:00+00:00,173.53,175.2,170.38,173.95,13958600,146.8062930017,148.2191121644,144.1413945809,147.1616127911,13958600,0.0,1.0
GS,2010-03-16 00:00:00+00:00,176.19,176.42,173.56,174.33,11687700,149.0566516681,149.2512315528,146.8316729866,147.4830926006,11687700,0.0,1.0
GS,2010-03-17 00:00:00+00:00,176.64,177.88,175.57,176.86,10138600,149.4373514425,150.4863908208,148.5321319789,149.6234713322,10138600,0.0,1.0
GS,2010-03-18 00:00:00+00:00,177.45,177.75,175.66,176.2,6883500,150.1226110364,150.376410886,148.6082719338,149.0651116631,6883500,0.0,1.0
GS,2010-03-19 00:00:00+00:00,177.9,178.21,175.95,178.19,10896600,150.5033108108,150.7655706554,148.8536117884,150.7486506654,10896600,0.0,1.0
GS,2010-03-22 00:00:00+00:00,176.1575,176.95,175.23,176.21,7320400,149.0291566844,149.6996112871,148.2444921494,149.0735716581,7320400,0.0,1.0
GS,2010-03-23 00:00:00+00:00,174.83,176.81,173.29,176.25,10804800,147.9060923499,149.5811713573,146.603253122,149.107411638,10804800,0.0,1.0
